Location,'From Date','To Date',PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,SR,BP
'Anand Vihar',01-01-2016,02-01-2016,360.81,750.91,372.96,135.81,244.32875,120.09,33.15,3.13,14.74,3.11,6.98,16.66,53.72,0.55,188.51,179.73,740
'Anand Vihar',02-01-2016,03-01-2016,327.92,616.04,161.81,111.45,320.25,97.91,39.72,2.35,18.88,1.77,2.6,16.4,50.82,0.81,198.27,176.69,740
'Anand Vihar',03-01-2016,04-01-2016,341.32,651.71,335.01,129.56,244.32875,99.63,22.83,2.57,15.67,2.22,3.54,16.05,55.87,0.96,251.82,168.77,740
'Anand Vihar',04-01-2016,05-01-2016,480.07,692.4,463.67,149.34,244.32875,127.53,31.46,3.23,30.63,4.58,11.36,16.61,55.63,0.77,160.64,168.53,740
'Anand Vihar',05-01-2016,06-01-2016,433.35,847.84,308.38,136.74,244.32875,134.52,38.65,3.58,32.07,3.21,11.44,18.73,55.46,0.95,144.11,167.06,740
'Anand Vihar',06-01-2016,07-01-2016,371.8,736.17,237.95,114.73,427.65,138.08,33.73,3.19,29.24,2.48,6.56,18.51,60.19,1.19,125.88,143.32,740
'Anand Vihar',07-01-2016,08-01-2016,468.02,743.11,248.53,112.2,439.37,151.45,34.02,3.39,27.8,2.95,7.48,18.68,65.44,0.63,157.13,161.22,740
'Anand Vihar',08-01-2016,09-01-2016,519.59,727.23,210.46,95.4,372.32,143.22,13.86,1.54,12.01,2.28,3.87,17.44,67.18,1.11,237.73,168.65,740
'Anand Vihar',09-01-2016,10-01-2016,169.49,480.58,152.07,85.53,283.75,72.47,16.1,2.2,14.09,0.73,0.88,16.95,52.49,1.86,277.08,176.88,740
'Anand Vihar',10-01-2016,11-01-2016,281.57,520.17,266.47,108.87,460.9,86.56,18.42,2.37,15.28,1.28,0.96,16.99,57.44,0.95,209.68,170.9,740
'Anand Vihar',11-01-2016,12-01-2016,413.43,681.95,681.95,125.43,244.32875,106.97,22.66,3.13,46.76,1.81,6.17,17.27,59.57,0.62,182.47,171.28,740
'Anand Vihar',12-01-2016,13-01-2016,286.47,565.3,167.02,93.23,311.15,103.39,26.77,1.87,28.45,1.33,5.92,17.55,58.9,1.6,97.37,172.76,740
'Anand Vihar',13-01-2016,14-01-2016,313.12,510.53,63.01,81.97,159.11,94.94,16.84,1.67,14.99,0.78,1.37,17.9,63.89,1.76,167.47,165.63,740
'Anand Vihar',14-01-2016,15-01-2016,259.66,479.88,98.32,69.38,196.07,83.53,13.94,1.83,10.68,0.58,0.61,15.37,70.58,0.95,246.92,164.43,740
'Anand Vihar',15-01-2016,16-01-2016,182.75,345.29,98.97,59.21,187.85,71.41,13.33,1.22,10.86,0.4,0.6,12.73,70.73,1.31,280.16,152.71,740
'Anand Vihar',16-01-2016,17-01-2016,143.24,298.58,76.11,60.58,157.91,58.37,15.52,0.89,13.6,0.3,0.45,13.14,65.19,1.68,281.5,170.72,740
'Anand Vihar',17-01-2016,18-01-2016,200.17,387.12,81,69.04,172.13,54.25,20.76,1.3,15.08,0.56,0.65,13.56,61.2,1.15,151,176.65,740
'Anand Vihar',18-01-2016,19-01-2016,338.49,667.74,297.95,98.4,494.56,75.37,17.06,1.83,14.04,1.3,1.73,13.5,65.16,0.55,197.6,171.09,740
'Anand Vihar',19-01-2016,20-01-2016,322.07,566.42,105.45,67.53,203.96,74.61,13.02,1.38,9.67,0.71,0.86,11.52,76.73,0.7,241.41,140.56,740
'Anand Vihar',20-01-2016,21-01-2016,307.6,534.76,89.45,73.97,188.1,60.87,12.49,1.12,10.6,0.42,0.58,11.56,71.41,0.97,240.9,149.47,740
'Anand Vihar',21-01-2016,22-01-2016,234.43,422.13,85.09,69.92,178.48,51.28,13.32,1.06,11.65,0.5,0.6,11.17,65.68,1.18,230.72,176.95,740
'Anand Vihar',22-01-2016,23-01-2016,301.62,467.76,66.82,73.79,157,62.67,15.75,0.76,13.47,10.11,17.33,10.3,71.68,1.34,118.56,170.84,740
