Location,'From Date','To Date',PM2.5,PM10,NO,NO2,NOx,Toluene,Temp,NH3,SO2,CO,Ozone,Benzene,RH,WS,WD,SR,BP,VWS,AT
Punjabi Bagh,01-01-2016,02-01-2016,273.44,532.33,185.57,120.82,361.07,6.86,13,62.98,27.79,2.85,55.54,1.51,59.27,0.51,117.09,49.31,738.13,-0.03,13
Punjabi Bagh,02-01-2016,03-01-2016,230.01,444.53,96.25,110.56,229.95,4.14,12.75,55.38,19.83,1.58,52.05,0.93,56.56,0.77,97.95,51.64,738.06,0.08,12.75
Punjabi Bagh,03-01-2016,04-01-2016,299.63,466.79,15.65,77.47,90.39,2.4,12.55,54.67,18.61,1.39,76.14,0.84,59.29,0.93,124.26,59.63,738.29,-0.05,12.55
Punjabi Bagh,04-01-2016,05-01-2016,245.09,757.82,219.35,191.25,469.95,8.83,15.19,55.36,31.5,2.42,71.28,1.45,53.59,0.5,124.31,54.82,738.17,-0.1,15.19
Punjabi Bagh,05-01-2016,06-01-2016,359.55,638.89,169.9,173.07,386.23,6.93,16.17,64.17,30.06,2.06,71.16,0.99,57.5,0.57,111.43,49.45,738.07,-0.02,16.17
Punjabi Bagh,06-01-2016,07-01-2016,320.7,613.19,160.16,137,340.78,5.43,15.99,65.12,33.66,2.64,41.53,0.84,59.21,0.53,112.18,41.69,738.01,0.02,15.99
Punjabi Bagh,07-01-2016,08-01-2016,453.98,775.89,224.82,138.45,430.38,9.47,15.51,84.02,27.55,2.15,39.5,1.52,70.53,0.47,112.12,39.02,738.72,0.09,15.51
Punjabi Bagh,08-01-2016,09-01-2016,361.88,552.68,62.54,83.17,159.51,5.86,13.49,75.26,10.83,1.25,32.27,1.45,74.68,1.09,102.09,37.99,749.1,-0.08,13.49
Punjabi Bagh,09-01-2016,10-01-2016,177.01,291.02,14.34,71.81,83.57,4.29,12.9,41.61,14.21,1.43,49.81,1.37,60.43,1.39,110.55,53.75,738.08,-0.12,12.9
Punjabi Bagh,10-01-2016,11-01-2016,208.1,442.58,75.77,75.25,170.5,2.83,13.53,37.25,38.14,2.14,66.22,0.77,61.07,0.75,135.59,51.86,738.26,-0.06,13.53
Punjabi Bagh,11-01-2016,12-01-2016,221.87,491.23,258.23,99.92,441.68,6.16,14.22,39.7,25.87,2.72,60.15,0.92,62.28,0.64,131.47,51.04,740.27,0,14.22
Punjabi Bagh,12-01-2016,13-01-2016,187.73,377.6,96.46,100.33,221.11,4.25,15.08,40.61,29.36,1.41,82.64,0.74,59.49,0.84,126.32,50.53,738.34,0.06,15.08
Punjabi Bagh,13-01-2016,14-01-2016,283.43,485.63,13.72,90.24,99.13,2.56,14.6,58.69,15.07,1.19,56.74,0.8,68.55,1.12,117.88,42.83,738.18,0.02,14.6
Punjabi Bagh,14-01-2016,15-01-2016,213.65,342.36,22.46,65.36,88.91,2.14,11.85,48.13,8.57,1.16,47.7,0.5,73.65,1.23,76.11,37.48,738.59,0.09,11.85
Punjabi Bagh,15-01-2016,16-01-2016,162.18,259.81,11.31,53.18,62.83,1.3,9.36,40.47,9.66,0.95,39.45,0.58,74.21,1.75,69.01,29.88,741.08,0.06,9.36
Punjabi Bagh,16-01-2016,17-01-2016,135.5,229.56,14.18,54.36,67.79,1.35,9.71,35.14,10.39,1.04,43.03,0.56,69.61,1.78,68.11,39.1,738,0.02,9.71
Punjabi Bagh,17-01-2016,18-01-2016,190.61,311.93,31.74,79.38,114.06,1.83,10.76,34.92,16.46,1.2,39.44,0.44,63.92,0.86,101.35,48.94,738.1,0.05,10.76
