Location,'From Date','To Date',PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,O,Temp,WS,WD,SR,BP,VWS,AT
'R K Puram',01-01-2016,02-01-2016,411.87,571.68,274.61,111.53,474.39,108.3,44.61,3.81,46.41,14.52,35.75,11.52,66.45,0.6,240.11,68.81,733.88,-0.11,11.52
'R K Puram',02-01-2016,03-01-2016,288.2,417.23,180.43,86.22,323.22,87.82,35.48,2.95,53.29,11.96,31.52,11.39,63.83,0.77,225.53,74.78,733.67,-0.12,11.39
'R K Puram',03-01-2016,04-01-2016,392.96,537.1,150.43,84.73,280.93,97.26,46.3,3.73,61.29,12.09,19.07,11.01,65.31,1.06,242.59,78.48,733.68,-0.31,11.01
'R K Puram',04-01-2016,05-01-2016,436.37,634.82,336.22,110.81,205.678704,113.75,66.93,5.27,18.28,15.81,34.35,10.46,72.69,0.42,203,21.95,733.86,-1.4,10.46
'R K Puram',05-01-2016,06-01-2016,324.11,536.55,170.04,108.57,328.93,96.53,57.31,5.63,42.43,12.92,31.44,14.66,65.37,0.62,209.55,71.48,733.5,0.07,14.66
'R K Puram',06-01-2016,07-01-2016,367.27,540.91,332.59,97.98,205.678704,109.12,39.4,7.85,24.21,15.4,38.14,13.98,70.63,0.83,185.6,57.76,733.53,0.19,13.98
'R K Puram',07-01-2016,08-01-2016,411.36,635.26,364.17,97.45,205.678704,144.48,42.08,7.2,44.7,16.12,41.02,14.41,73.78,0.49,210.45,52.98,733.61,-0.9,14.41
'R K Puram',08-01-2016,09-01-2016,283.29,477.23,128.75,73.4,241.23,101.69,24.56,3.75,31.16,13.36,28.45,12.44,77.96,1.12,241.88,46.38,733.94,-0.24,12.44
'R K Puram',09-01-2016,10-01-2016,198.82,331.67,68.06,77.99,162.4,61.73,35.03,2.17,38.36,8.76,12.44,11.13,67.22,1.57,244.97,65.86,733.5,-0.21,11.13
'R K Puram',10-01-2016,11-01-2016,195.22,327.29,171.2,76.79,302.22,61.25,39.08,3.19,61.47,9.61,18.3,12.57,63.86,0.85,236.32,81.6,733.38,-0.12,12.57
'R K Puram',11-01-2016,12-01-2016,246.47,455.48,366.74,58.94,205.678704,71.2,44.81,5.44,77,12.63,31.78,12.8,66.02,0.66,209.43,74.25,733.7,-0.13,12.8
'R K Puram',12-01-2016,13-01-2016,152.53,356.56,185.26,75.19,320.01,63.66,33.58,3.42,72.69,8.32,23.1,15.15,60.7,1.13,176.81,88.6,733.54,-0.03,15.15
'R K Puram',13-01-2016,14-01-2016,262.77,416.9,39.55,85.66,130.33,81.64,26.45,2.12,61.41,8.16,15.42,13.86,71,1.08,198.78,58.84,734.11,-0.14,13.86
'R K Puram',14-01-2016,15-01-2016,208.99,337.81,33.43,74.65,112.15,60.95,19.47,1.62,44.19,7.79,18.47,11.87,73.52,1.12,194.32,43,734.36,-0.19,11.87
'R K Puram',15-01-2016,16-01-2016,156.26,265.19,17.24,59.51,76.56,51.56,17.2,1.22,33.54,6.06,12.8,9.04,75.32,1.47,183.84,31.1,734.4,-0.19,9.04
'R K Puram',16-01-2016,17-01-2016,140.71,264.92,18.15,59.29,77.05,44.83,19.65,1.13,52.2,4.81,9.49,9.49,70.2,1.77,215.11,55.62,734.33,-0.2,9.49
'R K Puram',17-01-2016,18-01-2016,180.65,292.05,57.64,74.06,144.71,48.62,30.26,1.65,53.35,6.06,12.68,10.02,66.84,0.86,193.28,72.09,734.16,-0.42,10.02
'R K Puram',18-01-2016,19-01-2016,256.95,454.92,162.46,88.71,300.89,62.53,32.12,3.13,51.59,10.87,27.08,9.33,71.91,0.68,198.68,63.82,734.33,-1.73,9.33
'R K Puram',19-01-2016,20-01-2016,248.83,422.07,27.65,91.57,119.34,62.24,24.23,1.78,33.62,8.73,16.57,8.16,79.41,1.06,188.98,38.79,733.78,-0.13,8.16
'R K Puram',20-01-2016,21-01-2016,233.1,412.85,39.56,80.29,125.55,50.44,26.41,1.78,69.08,7.44,12.68,7.58,75.52,1.06,225.41,48.08,734.19,-0.28,7.58
'R K Puram',21-01-2016,22-01-2016,186.85,379.5,93.29,79.35,199.18,44,29.96,2.44,88.34,8.37,20.6,7.76,69.42,1.19,195.47,66.16,733.9,-0.57,7.76
'R K Puram',22-01-2016,23-01-2016,306.63,479.89,132.51,93.61,264.37,65.57,31.44,3.19,87.44,11.21,27.54,7.01,75.63,0.96,168.88,63.54,734.27,-0.74,7.01
'R K Puram',23-01-2016,24-01-2016,246.68,556.08,119.87,92.39,246.01,70.53,34.98,3.62,92.95,10.47,22.57,9.28,70.66,0.73,175.1,74.73,733.98,-0.48,9.28
'R K Puram',24-01-2016,25-01-2016,289.42,409.97,34.93,91.56,129.28,60.55,23.19,2.64,63.25,11.39,20.6,6.92,79.12,1.27,215.9,55.7,734.48,-0.54,6.92
'R K Puram',25-01-2016,26-01-2016,208.46,379.89,59.76,89.98,161.77,44.28,32.64,2.01,52.16,7.76,15.17,7.54,67.03,1.14,186.75,74.75,733.64,-0.21,7.54
'R K Puram',26-01-2016,27-01-2016,306.21,484.23,59.37,102.33,172.25,63.74,26.55,2.8,55.63,9.34,18.78,10.06,70.76,0.73,150.99,61.47,734.11,-0.52,10.06
'R K Puram',27-01-2016,28-01-2016,223.93,405.19,150.73,91.48,287.34,65.81,31.26,3.58,67.49,9.39,20.21,12.85,65.83,0.69,201.99,71.15,733.85,-0.8,12.85
'R K Puram',28-01-2016,29-01-2016,174.85,462.31,276.42,91.49,459.02,67.97,48.05,4.23,33.96,10.99,27.24,12.79,63.03,1.03,226.84,75.71,733.4,-1.91,12.79
'R K Puram',29-01-2016,30-01-2016,153.54,522,276.33,119.8,484.11,79.52,45.73,4.48,46.89,12.08,30.71,14.45,65.22,0.66,199.61,59.11,734.01,-0.17,14.45
'R K Puram',30-01-2016,31-01-2016,212.85,544.46,200,122.45,382.23,87.31,47.31,5.32,49.28,10.44,30.02,16.13,68.53,0.64,185.26,62.34,734.09,-1.66,16.13
'R K Puram',31-01-2016,01-02-2016,200.3,328.49,64,88.47,166.24,57.35,18.38,2.1,42.64,7.89,20.61,14.91,61.68,1.31,187.11,65,734.1,-0.53,14.91
'R K Puram',01-02-2016,02-02-2016,131.9,270.29,52.2,89.56,151.08,44.12,28.08,1.47,47.81,6.55,15.64,12.52,59.31,1.23,213.23,85.32,733.75,-0.11,12.52
'R K Puram',02-02-2016,03-02-2016,152.24,347.01,76.13,92.85,186.69,40.15,26.91,1.79,60.16,7.22,16.11,11.35,53.61,1.3,229.21,86.15,733.82,-0.14,11.35
'R K Puram',03-02-2016,04-02-2016,137.48,396.18,37.23,91.89,132.71,35.07,43.52,1.41,64.09,6.15,12.57,11.55,51.89,1.73,230.58,84.76,733.81,-0.11,11.55
'R K Puram',04-02-2016,05-02-2016,138.88,362.25,134.64,91.92,265.78,38.1,42.38,2.27,61.29,6.91,13.97,11.72,52.2,1.54,230.4,87.88,733.69,-0.17,11.72
'R K Puram',05-02-2016,06-02-2016,141.75,463.32,185.32,104.16,345.9,48.45,60.37,3.08,74.24,9.86,20.16,12.26,54.61,0.94,224.25,82.02,733.81,-0.06,12.26
'R K Puram',06-02-2016,07-02-2016,84.82,371.77,261.67,88.22,435.96,50.45,38.37,3.65,67.68,9.84,26.45,12.76,61.45,1.05,191.17,80.06,733.73,0.37,12.76
'R K Puram',07-02-2016,08-02-2016,172.76,268.4,43.47,99.37,147.89,51.56,29.66,1.81,37.23,6.67,18.05,13.35,66.91,1,149.76,58.27,734.08,0.28,13.35
'R K Puram',08-02-2016,09-02-2016,125.65,226.92,76.65,72.91,169.63,44.68,31.08,1.84,49.33,7.05,18.56,12.91,65.45,1.11,207.52,90.93,733.78,-0.14,12.91
'R K Puram',09-02-2016,10-02-2016,191.14,333.05,98.95,80.78,207.11,44.95,35.35,2.2,59.98,7.45,15.98,13.36,65.88,1.07,219.46,91.65,732.99,-0.27,13.36
'R K Puram',10-02-2016,11-02-2016,192.9,436.52,204.5,94.42,363.39,41.86,40.15,3.09,77.91,8.73,21.63,13.61,62.34,0.63,218.95,80.1,733.67,-0.25,13.61
'R K Puram',11-02-2016,12-02-2016,132.65,363.65,167.19,75.38,295.49,35.53,32.92,2.7,74.97,6.58,17.55,15.02,53.07,0.94,193.23,89.6,733.44,0.04,15.02
'R K Puram',12-02-2016,13-02-2016,126.85,367.35,88.9,107.55,217.23,37.06,33.74,2.11,48.73,7.43,18.25,15.92,46.86,0.76,172.96,83.72,733.14,0.51,15.92
'R K Puram',13-02-2016,14-02-2016,124.65,322.44,38.93,81.26,125.57,40.4,23.73,1.42,34.73,5.17,12.99,13.79,54.03,1.3,149.98,73.61,733.39,0.12,13.79
'R K Puram',14-02-2016,15-02-2016,108.38,220.92,30.93,68.87,103.6,37.23,30.92,1.46,62.76,5.7,13.4,14.09,56.51,1.16,198.76,94.43,733.46,-0.02,14.09
'R K Puram',15-02-2016,16-02-2016,114.44,303.92,43.68,86.99,137.15,36.56,32.31,1.71,62.98,5.49,16.26,14.33,53.15,0.98,181.77,83.22,733.49,-0.08,14.33
'R K Puram',16-02-2016,17-02-2016,116.5,289.9,45.69,93.2,145.43,34.24,40.39,1.62,69.21,6.45,18.09,14.33,48.55,1.04,191.07,94.9,733.32,-0.06,14.33
'R K Puram',17-02-2016,18-02-2016,125.39,306.56,38.97,104.22,146.07,40.61,44.19,1.61,57.23,6.56,20.28,15.95,47.42,0.98,189.52,82.88,733.59,0.31,15.95
'R K Puram',18-02-2016,19-02-2016,151.2,279.54,52.41,90.76,152.43,59.64,37.66,1.91,25.63,6.92,18.44,15.63,66.11,1.27,212.34,44.76,733.77,0.08,15.63
'R K Puram',19-02-2016,20-02-2016,173.06,337.29,86.07,84.8,193.09,65.28,50.73,2.38,31.23,8.61,22.81,19.58,60.72,0.91,211.76,84.49,733.62,-0.07,19.58
'R K Puram',20-02-2016,21-02-2016,113.25,229.71,93.21,49.04,171,88.26,24.61,2.14,30.34,7.3,22.83,19.94,67.34,1.56,218.64,84.9,733.77,-0.21,19.94
'R K Puram',21-02-2016,22-02-2016,52.86,138.4,1.73,33.22,31.95,42.84,18.62,0.82,69.1,2.26,4.73,17.47,57.73,2.31,211,114.84,733.39,-0.2,17.47
'R K Puram',22-02-2016,23-02-2016,75.07,179.44,15.22,58.43,72.84,30.58,64.05,1.08,81.93,3.34,6.13,17.12,46.9,2.23,240.91,116.93,733.52,-0.23,17.12
'R K Puram',23-02-2016,24-02-2016,63.56,296.12,114.37,83.74,230.81,30.22,48.49,2.03,77.53,4.5,10.16,17.71,44.21,1.82,241.84,117.43,733.48,-0.21,17.71
'R K Puram',24-02-2016,25-02-2016,89.63,388.99,240.01,136.51,449.39,38.17,74.85,3.86,44.8,7.81,22.54,17.24,50.68,0.79,214.17,104.63,733.59,0.23,17.24
'R K Puram',25-02-2016,26-02-2016,76.1,292.11,162.97,106.36,317.31,36.52,23.22,2.2,55.88,6.32,17.58,17.77,52.07,1.07,180.4,111.61,733.67,0.13,17.77
'R K Puram',26-02-2016,27-02-2016,91.35,312.06,174.21,88.46,316.74,28.41,24.01,2.59,79.48,6.18,18.25,18.82,51.28,0.88,226.8,113.49,733.68,-0.08,18.82
'R K Puram',27-02-2016,28-02-2016,24.09,363.02,264.97,105.94,456.25,51.83,35.93,3.42,74.01,8.13,23.59,18.48,55.25,0.79,233.43,107.26,733.82,0.11,18.48
'R K Puram',28-02-2016,29-02-2016,74.78,237.24,252.77,92.25,427.38,56.1,40.231193,3.43,68.82,7.78,21.8,18.52,61.63,1,216.21,104.7,733.75,0.08,18.52
